channel_a,channel_b,puncta_id_a,puncta_id_b,match_mode,centroid_distance_um,voxel_overlap_fraction_min_object_pct,pixel_count_a,pixel_count_b,mean_intensity_a,max_intensity_a,mean_intensity_b,max_intensity_b,centroid_x_a_um,centroid_y_a_um,centroid_z_a_um,centroid_x_b_um,centroid_y_b_um,centroid_z_b_um,inside_mesh_flag_a,inside_mesh_flag_b,within_surface_threshold_flag_a,within_surface_threshold_flag_b
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),274,587,centroid_distance,1,,1,6,7471,7471,1,1,69,73,5,68,74,5,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1197,2710,centroid_distance,1,,9,2,7284,9535,1,1,85,65,10,85,65,9,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1694,4363,centroid_distance,1,,8,17,10696,12487,1,1,58,82,12,58,82,11,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1424,3023,centroid_distance,1,,107,478,8937,26959,1,1,86,17,11,86,18,11,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1108,2171,centroid_distance,1,,201,150,9036,23695,1,1,101,61,10,100,61,9,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),183,439,centroid_distance,1,,6,6,10571,12215,1,1,87,57,5,86,57,5,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),434,944,centroid_distance,1,,12,26,7257,10503,1,1,58,74,7,57,74,7,False,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2790,6458,centroid_distance,1,,2,7,5263,5311,1,1,73,74,16,73,75,17,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2040,4751,centroid_distance,1,,4,19,4784,8059,1,1,47,60,13,47,60,12,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3114,7332,centroid_distance,1,,933,9,9015,33887,1,1,70,67,20,70,68,19,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2871,6726,centroid_distance,1,,8,9,8050,10751,1,1,75,67,17,74,66,17,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),297,753,centroid_distance,1,,173,2,12402,60799,1,1,67,46,6,66,46,6,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),266,551,centroid_distance,1,,1,2,8043,8043,1,1,82,63,5,82,64,5,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3227,7246,centroid_distance,1,,1,10,3227,3227,1,1,70,58,19,69,58,19,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),42,191,centroid_distance,1,,25,2,9031,14991,1,1,99,44,4,99,45,4,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),585,1318,centroid_distance,1,,48,13,8618,12551,1,1,99,53,8,98,53,7,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3395,7442,centroid_distance,1,,1,55,9927,9927,1,1,75,80,21,76,80,20,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2648,6040,centroid_distance,1,,16,77,8661,10167,1,1,90,26,16,90,25,16,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1564,3691,centroid_distance,1,,2,19,14367,15703,1,1,85,45,11,85,46,11,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),608,1557,centroid_distance,1,,421,147,8926,23535,1,1,71,75,8,71,75,8,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2827,6335,centroid_distance,1,,77,6,8978,22111,1,1,81,71,17,81,71,16,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1809,4504,centroid_distance,1,,35,87,11387,17935,1,1,75,67,13,74,66,12,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2503,6159,centroid_distance,1,,67,411,9605,14903,1,1,58,92,16,58,92,16,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2336,5625,centroid_distance,1,,18,42,9567,12247,1,1,46,59,15,45,59,15,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3452,7696,centroid_distance,1,,190,41,12813,42879,1,1,77,89,22,77,90,23,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),623,2274,centroid_distance,1,,140,1,9440,25455,1,1,85,17,8,85,18,9,False,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2608,6414,centroid_distance,1,,41,13,6942,25967,1,1,90,62,16,89,62,17,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2780,6324,centroid_distance,1,,151,88,8462,17631,1,1,47,69,17,48,69,17,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2867,6415,centroid_distance,1,,29,2,8539,11343,1,1,82,63,17,82,63,16,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2493,5672,centroid_distance,1,,7,16,7668,8567,1,1,41,78,15,42,78,15,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2644,5934,centroid_distance,1,,48,60,7805,13239,1,1,55,91,16,55,92,15,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2382,5694,centroid_distance,1,,388,1,9945,31407,1,1,95,30,15,96,30,15,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),60,332,centroid_distance,1,,134,137,9892,29263,1,1,59,44,4,59,45,5,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1260,2713,centroid_distance,1,,78,42,9780,15631,1,1,57,65,10,57,65,9,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2904,7004,centroid_distance,1,,93,1,8967,15527,1,1,91,48,18,92,49,18,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),673,2232,centroid_distance,1,,49,2,10099,27487,1,1,52,69,8,53,69,8,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),878,2306,centroid_distance,1,,1,498,4103,4103,1,1,89,37,9,90,36,9,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),47,52,centroid_distance,1,,95,1,7912,16119,1,1,100,51,4,100,51,3,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2159,5215,centroid_distance,1,,1,2,9679,9679,1,1,88,34,14,88,35,13,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1320,3163,centroid_distance,1,,6,19,10847,18703,1,1,80,59,10,80,59,10,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2103,5258,centroid_distance,1,,421,61,10122,31631,1,1,84,57,14,84,57,14,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1581,4469,centroid_distance,1,,234,15,9895,26527,1,1,62,57,12,62,57,12,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1616,4370,centroid_distance,1,,88,10,10012,21471,1,1,67,85,12,66,85,11,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1174,2380,centroid_distance,1,,4,744,9827,12175,1,1,57,49,10,57,50,10,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),780,2571,centroid_distance,1,,6,20,10533,13415,1,1,83,33,8,82,33,9,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),226,560,centroid_distance,1,,5,570,6901,8751,1,1,79,68,5,79,68,6,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3250,7342,centroid_distance,1,,23,24,11588,19583,1,1,73,74,19,73,74,20,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2952,6803,centroid_distance,1,,157,32,9450,23279,1,1,90,47,18,90,47,18,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),783,2304,centroid_distance,1,,15,117,8745,11127,1,1,92,35,8,92,36,9,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1330,3189,centroid_distance,1,,5,95,9943,12983,1,1,85,65,10,86,65,10,False,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1538,4355,centroid_distance,1,,90,431,10161,27391,1,1,73,79,11,73,79,12,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1868,5019,centroid_distance,1,,12,127,9081,11599,1,1,65,65,13,65,65,13,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2525,4857,centroid_distance,1,,81,1852,9457,15639,1,1,57,57,16,57,56,15,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),198,384,centroid_distance,1,,2650,22,9434,39583,1,1,56,74,6,56,74,5,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),40,182,centroid_distance,1,,144,2,9996,19919,1,1,101,43,4,100,43,4,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3281,7253,centroid_distance,1,,3,19,7510,9919,1,1,68,63,20,68,62,19,True,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),932,2164,centroid_distance,1,,141,131,8885,15935,1,1,67,61,9,67,60,9,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1943,5132,centroid_distance,1,,246,161,10169,20303,1,1,48,56,14,48,57,14,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),3351,7609,centroid_distance,1,,211,3,9086,20687,1,1,81,56,21,81,56,21,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),30,134,centroid_distance,1,,695,9,9291,38431,1,1,102,47,4,102,48,4,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2086,5228,centroid_distance,1,,169,14,10421,24959,1,1,65,47,14,66,47,14,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1240,3684,centroid_distance,1,,102,5,9684,19439,1,1,71,43,10,70,44,10,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1067,3067,centroid_distance,1,,17,14,9268,18863,1,1,77,41,9,76,41,10,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2584,5078,centroid_distance,1,,159,7964,9452,22623,1,1,89,37,16,90,38,17,False,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1685,4679,centroid_distance,1,,7,3,10353,14543,1,1,70,77,12,70,76,12,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),1336,3809,centroid_distance,1,,84,39,9076,14455,1,1,50,80,10,49,81,11,False,False,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),382,1215,centroid_distance,1,,33,1,7776,11359,1,1,64,67,7,63,67,7,True,True,True,True
Mul(Channel 2)_xMask(Channel 2 mask),Mul(Channel 3 mask)_xMask(Channel 3 mask),2395,5485,centroid_distance,1,,19,174,10287,14887,1,1,81,55,15,81,54,15,False,False,True,True
